measurement,value,date,denominator,rederive_command,conditions,status
parent_unpushed_commits,8,2026-08-06,commits reachable from parent HEAD not from origin/main; NOT a tag count and NOT a file count,git rev-list --count origin/main..HEAD,parent dev-hermit repo only; changes every time any agent commits or pushes,VOLATILE-REDERIVE-ALWAYS
scorecard_deterministic_cells,346,2026-08-06,rows with deterministic=1 out of 618 total rows; ALL are test_mode=verify,"python3 -c ""import csv,collections; r=list(csv.DictReader(open('compat-envelope/scorecard.csv'))); print(collections.Counter(x['test_mode'] for x in r if x.get('deterministic')=='1'))""",after the earned-determinism migration; 105 single-run cells were demoted to blank,CURRENT
scorecard_bitwise_cells,0,2026-08-06,"of the 346 deterministic=1 cells, how many used a BITWISE comparator; all 346 are verify_compare=stripped","grep -c ',stripped$' compat-envelope/scorecard.csv",stripped normalises addresses and tmp paths and does NOT compare the detlog,CURRENT
sabre_syscalls_determinized,4,2026-08-06,of the 49 syscalls ptrace determinizes on the same fixture; sabre catches only those issued by main(),$H --log=info --log-file=X.log run --backend $BE -- t_dyn; cat X.log* | grep -o 'inbound syscall: [a-z_0-9]*' | sort | uniq -c,hermit debug build; fixture experiments/sabre_parity_reachability_20260806/t_dyn.c,CURRENT
sabre_allowlist_isolation,50,2026-08-06,"of 100 identical getppid calls: 50 from libc (allowlisted) caught, 50 from a non-allowlisted .so missed; ptrace 100/100","see experiments/sabre_reach_allowlist_20260806/README.md, Reproduction section","known_syscall_libs = {libc,librt,libpthread,libresolv}, sabre loader/ld_sc_handler.c:40",CURRENT
perf_readiness_us_per_syscall,ptrace 34.13 / e9patch 34.31 / sabre 39.88 / dbi 1.43,2026-08-06,"marginal wall per guest syscall = (T(50000)-T(2000))/48000, median of 3; NOT total runtime","for be in ptrace dbi sabre e9patch; do for n in 2000 50000; do /usr/bin/time -f ""$be $n %e"" $H run --backend $be -- nsys $n; done; done","release build; fixture = N getppid() calls; ONE syscall shape, so the magnitude is not a general overhead figure",CURRENT
per_core_pinned_pmcs,5,2026-08-06,pinned per-task PMCs simultaneously resident on ONE core; 6 generic HW PMCs minus 1 NMI watchdog. NOT the LBR depth (16),cc -O2 -o /tmp/pmc_probe experiments/pmu-concurrency-ceiling-measured_20260803/pmc_probe.c && taskset -c 7 /tmp/pmc_probe 8,devbig014 only; a different PMC count or no NMI watchdog changes it,HOST-SPECIFIC
implemented_tag_classification,163 LANDED / 24 UNVERIFIABLE / 16 ARTIFACT-ONLY / 4 MISSING / 1 NOTHING,2026-08-06,"209 tasks with status=IN_PROGRESS AND tag implemented. NOT the 897 total implemented-tagged, of which 633 are CLOSED","tg sql ""SELECT COUNT(*) FROM tasks WHERE status='IN_PROGRESS' AND tags LIKE '%implemented%'""","repos are SHALLOW clones, so absence from the ancestor set is NOT evidence; only presence is definitive",CURRENT
ptrace_sigtrap_exit_status,0,2026-08-06,hermit-ptrace exit status for raise(SIGTRAP); native is 133. SUPERSEDES the recorded 100,$H run --backend ptrace -- raise_sig 5; echo $?,"SIGSEGV/SIGABRT/SIGTERM are all correct, so SIGTRAP-specific; 0 is a FALSE GREEN, worse than a wrong nonzero",CURRENT
dbi_guest_env_extra_vars,4,2026-08-06,env entries the guest sees under dbi (163) minus every other backend (159),$H run --backend $BE -- surface | grep -c '^ENV\[',DYNAMORIO_CONFIGDIR leaks $HOME; DYNAMORIO_EXE_PATH leaks the guest's absolute host path,CURRENT
offline_build,"EXIT=0, 218 crates, 1m07s",2026-08-06,"crates COMPILED out of 308 in Cargo.lock; fresh isolated target dir, no compiler cache",CARGO_TARGET_DIR=<fresh-dir> cargo build --release --bin hermit --offline,"crates.io IS 403; works only while ~/.cargo stays warm (691MB, 659 cached crates)",CURRENT
