artifact,question,measurement,result,verdict
1-oom-group,does a breach kill the OFFENDING GROUP,"live runner audit line + my own cgroup bracket","runner prints memory.oom.group=1 (enabled) on the live outer scope; bracket: offender DEAD/neighbour ALIVE, control oom.group=0 leaves sentinel ALIVE, 10/10 legit steps survive",REAL
2a-wall-timeout,is the wall timeout enforced or paper,"planted sleep 120 with timeout 5 against the shipped runner","FAIL (5s, TIMEOUT >5s); elapsed 5s not 120s; 'WALL BREACH SURVIVED' never printed",REAL
2b-cpu-timeout,has the wall->CPU port actually happened,"count cpu_timeout declarations across ci/dag/{portable,privileged}.json","0 of 55 steps; the single occurrence in portable.json is a DESCRIPTION explaining why it was deliberately not set",INERT AT DEPLOYMENT
2c-cpu-timeout-capability,what does the engine advertise,"capability string in py/safe_ci_dag_runner/__init__.py:108 and rs/.../lib.rs:81","both advertise \"cpu_timeout\":true","OVER-READ RISK: true of the ENGINE, 0/55 adoption in the DAG"
3-pmu-cap,is there a PMU concurrency cap,"grep canonical ci-hub/runners/ + hermit/ci/","no PMU cap; only hits are in another agent's in-flight .claude worktree. Real caps: resource_caps {hermit_guest:1, manifest_guest:4}, enforced in sizing.py:122",ABSENT (proposed, not deployed)
4a-bpfjailer,can the agent sandbox create its own cgroup,"direct mkdir in /sys/fs/cgroup/user.slice/user-<uid>.slice","Permission denied",REAL (denied as designed)
4b-systemd-run,does the admission path box successfully,"systemd-run --user --scope -p Delegate=yes","succeeds; process lands in its own .../app.slice/<unit>.scope",REAL
4c-producer-default,does the producer default to a full profile,ci-hub/validate/start_unit.py:127,"child.extend([...,'./validate.sh', *(validate_args or ['full'])])",REAL
5-validate-duplicates,is this an enforcement artifact,"read the task: open P0, owner hermit-coord, 27 notes","it is a product/bash-duplication question, not a boxing-enforcement mechanism",OUT OF SCOPE (not reviewed on enforcement grounds)
6-cmake-content-hash,does artifact-integrity validation fire,"purge_zero_byte_objects landed on hermit origin/main validate.sh:872-878, called at :1002; my own plant earlier today","2 zero-byte .o purged, healthy .o and .a untouched, missing root -> 0","REAL BUT NARROW: *.o-only; the one live corrupt CMake artifact on this box is a .so it does not see; size==0 is a proxy (ELF-magic costs 0.25s on the real 834-object tree)"
M1,methodological caveat,"first attempt put 3 planted steps in ONE dag","the first failure eager-exited and ABORTED the other two, masking both the wall plant and the positive control","one plant per DAG, or the verification is misleading"
P1,positive control,"two well-behaved steps under cap, run as their own DAG","2 passed, 0 failed, 0 aborted, runner exit 0","enforcement is NOT over-broad"
